# length,centers=4880,roads=4879,wlines=4879,trees=4879
# center_x,center_y,road_x0,road_y0,road_x1,road_y1,line_x0,line_y0,line_x1,line_y1,tree_fg,tree_x,tree_y,tree_r,tree_col
138526882.4875408,46125051.160206,138526868.39220354,46125088.59443455,138526896.58287808,46125013.72597744,138526881.78277394,46125053.03191742,138526883.19230768,46125049.28849457,1,138526786.63924745,46125305.712960176,32,0
138526907.13051316,46125060.43917393,138526892.61799982,46125097.71365524,138526921.6430265,46125023.16469262,138526906.4048875,46125062.302898,138526907.85613883,46125058.57544986,1,138527027.9471866,46124750.12911702,47,2
138526931.60554954,46125069.96832844,138526916.7640399,46125107.11303993,138526946.44705918,46125032.823616944,138526930.86347407,46125071.82556401,138526932.34762502,46125068.111092865,0,0,0,0,0
138526955.94528446,46125079.69349241,138526940.86306432,46125116.741119005,138526971.0275046,46125042.64586582,138526955.19117346,46125081.54587374,138526956.69939545,46125077.84111109,1,138527083.7671,46124765.71485704,49,3
138526980.1823523,46125089.560488656,138526964.9477552,46125126.54571613,138526995.41694942,46125052.57526118,138526979.42062244,46125091.40975003,138526980.94408217,46125087.71122728,1,138526872.3975778,46125351.23097301,30,5
138527004.34938753,46125099.51514001,138526989.05080166,46125136.47394505,138527019.6479734,46125062.55633497,138527003.58445823,46125101.36308026,138527005.11431682,46125097.66719976,1,138527111.057024,46124841.72747484,37,1
138527028.47902468,46125109.50326938,138527013.20494208,46125146.4722077,138527043.75310728,46125072.53433106,138527027.71532056,46125111.351716295,138527029.2427288,46125107.65482247,1,138526981.12936857,46125224.10697817,49,1
138527052.60389814,46125119.47069953,138527037.4429815,46125156.486190975,138527067.76481476,46125082.45520808,138527051.84585232,46125121.3214741,138527053.36194396,46125117.619924955,1,138527092.02228138,46125023.23042177,33,3
138527076.75664228,46125129.36325332,138527061.79778597,46125166.460862644,138527091.7154986,46125092.26564399,138527076.00869948,46125131.218133785,138527077.5045851,46125127.50837285,0,0,0,0,0
138527100.96989173,46125139.126753606,138527086.30225074,46125176.3404649,138527115.6375327,46125101.913042314,138527100.23650968,46125140.98743917,138527101.70327377,46125137.26606804,1,138527158.17369154,46124993.99327956,36,5
138527125.27628076,46125148.707023226,138527110.98924473,46125186.06850876,138527139.5633168,46125111.34553769,138527124.56192896,46125150.5750975,138527125.99063256,46125146.83894895,1,138527074.55730283,46125281.34029687,44,4
138527149.70844394,46125158.04988502,138527135.88560602,46125195.58559005,138527163.53128186,46125120.51417999,138527149.01730204,46125159.92667027,138527150.39958584,46125156.17309977,1,138527226.77076527,46124948.788329475,49,2
138527174.29687616,46125167.104781225,138527160.9462312,46125204.811017826,138527187.64752114,46125129.398544624,138527173.62934393,46125168.99009305,138527174.9644084,46125165.2194694,0,0,0,0,0
138527199.04480562,46125175.86727916,138527186.1220341,46125213.72229172,138527211.96757713,46125138.01226659,138527198.39866704,46125177.760029785,138527199.6909442,46125173.97452853,0,0,0,0,0
138527223.93666166,46125184.364747435,138527211.396238,46125222.34813557,138527236.47708532,46125146.3813593,138527223.30964047,46125186.26391684,138527224.56368285,46125182.46557803,1,138527145.55901375,46125421.76092328,32,0
138527248.9565011,46125192.625184484,138527236.75281948,46125230.718099244,138527261.1601827,46125154.53226972,138527248.34631702,46125194.529830225,138527249.56668517,46125190.72053874,0,0,0,0,0
138527274.0883808,46125200.6765888,138527262.1758226,46125238.86154601,138527286.00093904,46125162.4916316,138527273.4927529,46125202.585836664,138527274.68400872,46125198.76734094,1,138527171.64038017,46125529.06722077,47,5
138527299.31635773,46125208.54695886,138527287.64933455,46125246.80765109,138527310.9833809,46125170.286266625,138527298.73300657,46125210.45999347,138527299.8997089,46125206.633924246,0,0,0,0,0
138527324.62448868,46125216.26429311,138527313.15746537,46125254.58540187,138527336.091512,46125177.94318435,138527324.0511375,46125218.18034855,138527325.19783986,46125214.34823767,0,0,0,0,0
138527349.9968305,46125223.85659,138527338.68433118,46125262.22359873,138527361.3093298,46125185.48958127,138527349.43120554,46125225.77494044,138527350.56245545,46125221.93823957,0,0,0,0,0
138527375.41744018,46125231.35184802,138527364.2140407,46125269.75085634,138527386.62083966,46125192.9528397,138527374.8572702,46125233.27179844,138527375.97761014,46125229.4318976,0,0,0,0,0
